url	title	company	date_seen	portal	status
https://www.naukri.com/job-listings-fx-trading-systems-developer-vichara-technologies-hyderabad-delhi-ncr-mumbai-all-areas-9-to-14-years-191225009530	FX & Trading Systems Developer	Vichara Technologies	2026-04-18	naukri.com	added
https://iongroup.com/jobs/market-access-c-server-developer-4822-f626af64-e945-4a04-a2e3-f50dbc2cfd6f/	Market Access C++ Server Developer (4822)	ION Group	2026-04-18	iongroup.com	added
https://iongroup.com/jobs/market-access-c-server-developer-4820-571f2577-f98b-42c5-a10a-ed7d1f4c4561/	Market Access C++ Server Developer (4820)	ION Group	2026-04-18	iongroup.com	added
https://iongroup.com/jobs/fidessa-c-developer-6063-4d29ab04-9b15-4d14-b73f-46396754c566/	Fidessa C++ Developer (6063)	ION Group (Fidessa)	2026-04-18	iongroup.com	added
https://iongroup.com/jobs/c-developer-6426-fa79e07e-cc36-4238-9e02-46afa96b9f36/	C++ Developer (6426)	ION Group	2026-04-18	iongroup.com	added
https://iongroup.com/jobs/c-developer-6440-4c0cb43d-770a-496e-b6e9-9deb24dede66/	C++ Developer (6440)	ION Group	2026-04-18	iongroup.com	added
https://iongroup.com/jobs/c-developer-6881-bc002c60-4d14-4ca8-b01a-bc7943ee7663/	C++ Developer (6881)	ION Group	2026-04-18	iongroup.com	added
https://iongroup.com/jobs/c-software-engineer-server-side-5022-ac1b3104-5d3b-4b6e-95f1-4c6d93a44d4d/	C++ Software Engineer Server-Side (5022)	ION Group	2026-04-18	iongroup.com	added
https://careers.bloomberg.com/job/detail/109013	Software Engineer in Test – Trading Connectivity	Bloomberg	2026-04-18	bloomberg.com	added
https://www.iimjobs.com/j/quant-developer-high-frequency-trading-1616218	Quant Developer – High Frequency Trading	HFT Firm	2026-04-18	iimjobs.com	added
https://www.iimjobs.com/j/quant-developer-trading-system-iit-iisc-isi-nit-1644880	Quant Developer – Trading System	Trading Firm	2026-04-18	iimjobs.com	added
https://www.iimjobs.com/j/low-latency-trader-high-frequency-trading-1687762	Low Latency Trader – High Frequency Trading	Prop Trading Firm	2026-04-18	iimjobs.com	added
https://job-boards.greenhouse.io/eclipsetrading/jobs/7339999002	Low Latency C++ Engineer	Eclipse Trading	2026-04-18	greenhouse.io	added
https://www.efinancialcareers.com/jobs-Hong_Kong-Hong_Kong-C_Developer_Market_Execution.id23604633	C++ Developer (Market Execution)	Global Quant Hedge Fund	2026-04-18	efinancialcareers.com	added
